From	To
Q9BQ70	ENSG00000141002
P07197	ENSG00000104722
P84085	ENSG00000004059
A8K727	ENSG00000169499
Q8NB46	ENSG00000139645
Q9P0K7-2	ENSG00000039560
Q96BZ9	ENSG00000125875
Q15545	ENSG00000178913
Q5U4P2	ENSG00000174939
O95273	ENSG00000166946
Q7L1T6	ENSG00000065615
Q01105	ENSG00000119335
P62495	ENSG00000120705
K7EII3	ENSG00000166377
U3KQ88	ENSG00000119862
Q14240	ENSG00000156976
Q9NZM5	ENSG00000105373
O15117-2	ENSG00000082074
P00367	ENSG00000148672
G3V1Y7	ENSG00000092841
P27815	ENSG00000065989
Q7L099-4	ENSG00000018189
P49006	ENSG00000175130
Q9NP91	ENSG00000163817
O75223-3	ENSG00000006625
H3BTE3	ENSG00000162066
Q9HAB8	ENSG00000127125
Q5SQH8	ENSG00000204564
Q8IX18	ENSG00000108406
H0Y325	ENSG00000131018
Q9BYT9	ENSG00000134343
Q9Y5F2	ENSG00000197479
Q92681	ENSG00000215695
Q5VWJ9	ENSG00000148158
Q10713-2	ENSG00000165688
Q9NVU7	ENSG00000198301
P18859	ENSG00000154723
Q9BXR0	ENSG00000213339
Q5VTY9-7	ENSG00000054392
E9PPM7	ENSG00000134668
Q7L804	ENSG00000107560
P60201	ENSG00000123560
F8VWR9	ENSG00000139220
J3KRJ8	ENSG00000133313
Q96JM4	ENSG00000133640
Q9BZL1	ENSG00000198258
O75084	ENSG00000155760
P20264	ENSG00000198914
E9PMN0	ENSG00000023191
P00519	ENSG00000097007
Q9UBS9-2	ENSG00000094975
K7EP84	ENSG00000108515
A0A044PY82	ENSG00000141854
Q92844	ENSG00000136560
D6RBT3	ENSG00000145494
Q9NVU0	ENSG00000058600
Q05209	ENSG00000127947
Q15468	ENSG00000123473
Q86XS8	ENSG00000113269
Q8NB90	ENSG00000145375
O43169	ENSG00000103018
Q9BRK0	ENSG00000132563
Q9H0W8	ENSG00000105771
Q8N2R8	ENSG00000185112
O95864	ENSG00000134824
H3BQK9	ENSG00000127603
Q5TF58	ENSG00000169991
P17030	ENSG00000175395
Q9UPQ0	ENSG00000064042
Q16878	ENSG00000129596
Q9UQ35	ENSG00000167978
Q9NQ34	ENSG00000175348
Q9NQ29	ENSG00000007392
Q7L523	ENSG00000155876
Q9NWM0	ENSG00000088826
Q5RHP9	ENSG00000178965
O00479	ENSG00000182952
Q16288	ENSG00000140538
Q5SNV9	ENSG00000215910
P05165	ENSG00000175198
Q6DD88	ENSG00000184743
Q9P2G4	ENSG00000212916
Q5XG75	ENSG00000223802
Q9UIK5	ENSG00000144339
H0Y9Y1	ENSG00000145741
Q5T182	ENSG00000160691
P47755	ENSG00000198898
P38567	ENSG00000106304
Q04724	ENSG00000196781
Q9UBU8-2	ENSG00000185787
P10645	ENSG00000100604
Q15011	ENSG00000051108
Q9UNP9	ENSG00000084072
P23378	ENSG00000178445
O00192	ENSG00000099889
Q9UKN8	ENSG00000125484
O15254	ENSG00000087008
Q9Y320	ENSG00000213593
Q9C040	ENSG00000109654
Q66K89	ENSG00000167967
P55075	ENSG00000107831
A0A087WW53	ENSG00000172725
Q9H095	ENSG00000114473
Q16774	ENSG00000143774
Q9C0D6	ENSG00000137460
Q5TFM2	ENSG00000000971
Q9H3S1	ENSG00000196189
A0A087WWJ5	ENSG00000149294
Q14692	ENSG00000165733
Q14831-2	ENSG00000196277
P04003	ENSG00000123838
O60437	ENSG00000118898
Q9UKU7-2	ENSG00000151498
P02788	ENSG00000012223
Q7Z460	ENSG00000074054
P57088	ENSG00000109133
H0Y704	ENSG00000147394
Q9NZQ9	ENSG00000163157
O95985	ENSG00000100038
P16402	ENSG00000124575
P07911	ENSG00000169344
O76061	ENSG00000113739
Q9P202	ENSG00000095397
O75884	ENSG00000089050
O95163	ENSG00000070061
Q99622	ENSG00000111678
E9PGC8	ENSG00000166963
A4D1B5	ENSG00000186088
Q9NQ60	ENSG00000120160
Q9H813	ENSG00000065600
Q9P2D7	ENSG00000114841
P57679	ENSG00000072840
Q9UPQ3	ENSG00000157985
P52907	ENSG00000116489
O00409	ENSG00000053254
Q5VZK9	ENSG00000079691
Q5VY43	ENSG00000187800
Q96EX3	ENSG00000119333
O60279	ENSG00000173705
Q5UIP0	ENSG00000080345
Q5T280	ENSG00000198917
Q96FZ7	ENSG00000176108
Q9Y2X7	ENSG00000108262
Q9NYF8	ENSG00000029363
Q9NYC9	ENSG00000007174
O95352	ENSG00000197548
Q9UH99	ENSG00000100242
H0YBC6	ENSG00000197959
Q01826	ENSG00000182568
P60900	ENSG00000100902
Q99683	ENSG00000197442
O14957	ENSG00000127540
A0A087WVC2	ENSG00000151150
P55083	ENSG00000166482
Q15643	ENSG00000100815
O75431	ENSG00000128654
O75071	ENSG00000159658
A8MWY0	ENSG00000164659
O60721	ENSG00000074621
B1ANS9	ENSG00000162843
Q96N16-2	ENSG00000152969
O75110	ENSG00000054793
Q38SD2	ENSG00000154237
Q14511	ENSG00000111859
Q96DE5	ENSG00000166295
Q9Y397	ENSG00000188706
P54136	ENSG00000113643
D6RAL0	ENSG00000163995
Q8N335	ENSG00000152642
Q0D2K2	ENSG00000168427
P04745	ENSG00000237763
O75326	ENSG00000138623
P15882	ENSG00000128656
Q96EE4	ENSG00000169193
P53350	ENSG00000166851
O43491-4	ENSG00000079819
H0YEK4	ENSG00000110436
Q8TBP0	ENSG00000167291
Q5U5Z8	ENSG00000165923
Q9ULD9	ENSG00000168916
Q96S90	ENSG00000163155
O76081	ENSG00000147509
P22748	ENSG00000167434
Q96E22	ENSG00000153989
Q9Y4C0	ENSG00000021645
Q9NV64	ENSG00000176142
Q9Y467	ENSG00000165821
C9J0U9	ENSG00000032389
O60603	ENSG00000137462
P35558	ENSG00000124253
P48735	ENSG00000182054
H7C118	ENSG00000115685
P17544	ENSG00000170653
Q8N609	ENSG00000174599
Q5TGY3	ENSG00000126705
Q5T2W1	ENSG00000174827
Q96JJ6	ENSG00000092051
P32239	ENSG00000110148
Q9NZP6	ENSG00000185823
O15294	ENSG00000147162
B7Z596	ENSG00000140416
Q9H9Q2	ENSG00000144524
Q96KR4	ENSG00000185621
O94956	ENSG00000137491
P07992	ENSG00000012061
Q86UR5-12	ENSG00000079841
Q9NXT0	ENSG00000083828
P01034	ENSG00000101439
P19838	ENSG00000109320
Q15386	ENSG00000009335
Q9UL68	ENSG00000186487
Q9NWV8	ENSG00000105393
P47736-2	ENSG00000076864
O95803	ENSG00000164100
Q86V59	ENSG00000182013
Q8IYW2	ENSG00000171811
Q9Y4X5	ENSG00000166233
O60936-2	ENSG00000140939
P52888	ENSG00000172009
Q99873	ENSG00000126457
A6NKB5	ENSG00000135749
K7EL46	ENSG00000062716
P23763	ENSG00000139190
Q96MA6	ENSG00000165695
Q86UT8	ENSG00000186166
Q96HY7	ENSG00000181192
Q08211	ENSG00000135829
Q9HB89	ENSG00000171596
Q96CK0	ENSG00000161914
B1B1J6	ENSG00000219438
Q6WN34-2	ENSG00000054938
Q96LL4	ENSG00000164743
Q96NB3	ENSG00000198783
Q9H2A9	ENSG00000124302
C9JVQ0	ENSG00000143977
D6RJB0	ENSG00000138709
Q5EBM0	ENSG00000134326
P47869	ENSG00000151834
Q16774-3	ENSG00000143774
Q96KG9	ENSG00000142186
P43307	ENSG00000124783
Q9NP64	ENSG00000121766
B1APM2	ENSG00000143248
Q8N8D7	ENSG00000185942
Q8NDA8	ENSG00000179832
Q9NPR2	ENSG00000185033
Q9BRT9	ENSG00000147536
Q96C34	ENSG00000198863
Q8NC01	ENSG00000150048
P51178	ENSG00000187091
Q6VMQ6	ENSG00000171681
E9PN18	ENSG00000179950
O15234	ENSG00000108349
I3NI25	ENSG00000133393
G8JLK1	ENSG00000053501
Q9NYA4	ENSG00000108389
Q71RG4-3	ENSG00000168591
Q53RD9	ENSG00000144152
Q8TBF2	ENSG00000157870
Q969U6	ENSG00000159069
Q8IU85-2	ENSG00000183049
Q9Y274	ENSG00000064225
Q6PHW0-4	ENSG00000009765
O14757	ENSG00000149554
P25098	ENSG00000173020
Q96FN5	ENSG00000136883
Q14683	ENSG00000072501
F8VZS0	ENSG00000089157
A3KN83	ENSG00000139697
O60749	ENSG00000205302
Q9BQ15	ENSG00000139579
Q96R06	ENSG00000076382
P38919	ENSG00000141543
Q9H2P9	ENSG00000117543
Q49A92	ENSG00000165084
Q8WYA0	ENSG00000122970
K7ES25	ENSG00000124299
P43250	ENSG00000198055
Q8NFZ5	ENSG00000168884
Q96HH4	ENSG00000163449
P60891	ENSG00000147224
Q6U841	ENSG00000144290
O95863	ENSG00000124216
P40926	ENSG00000146701
E5RFM2	ENSG00000153140
P21953	ENSG00000083123
Q9BYZ6	ENSG00000008853
Q9GZU3	ENSG00000121775
Q6UX98	ENSG00000174165
F5GWA2	ENSG00000137497
Q9UHX3	ENSG00000127507
H3BTW0	ENSG00000261740
P02765	ENSG00000145192
Q08AD1-2	ENSG00000118200
O00295	ENSG00000104804
P00441	ENSG00000142168
P60983	ENSG00000197045
Q8TB72-3	ENSG00000055917
O75956	ENSG00000167797
Q96HR9	ENSG00000115255
P67812	ENSG00000140612
Q96SZ6-2	ENSG00000101391
O60294	ENSG00000168806
Q5XKL5	ENSG00000189195
Q6UY18	ENSG00000213171
Q9H9R9	ENSG00000003249
E9PK76	ENSG00000084234
O60832	ENSG00000130826
Q9UKU7	ENSG00000151498
Q13015	ENSG00000213190
Q7Z739	ENSG00000185728
Q9Y4F4	ENSG00000198718
H0Y7M9	ENSG00000135842
P11413-2	ENSG00000160211
Q8TAG5	ENSG00000170419
Q9Y519	ENSG00000198792
Q6ZNC4	ENSG00000164684
Q8N568-3	ENSG00000170390
Q5HYA8	ENSG00000164953
Q9BT73	ENSG00000157778
Q86YT5	ENSG00000141485
Q8NHQ8	ENSG00000123094
O15374	ENSG00000168679
Q13554	ENSG00000058404
O75170	ENSG00000100239
I3L245	ENSG00000108559
Q8IX12	ENSG00000060339
Q7Z7A4	ENSG00000168297
Q13227	ENSG00000132522
Q6P3S1	ENSG00000213047
Q9H607	ENSG00000099330
Q9Y5V0	ENSG00000120963
O43505	ENSG00000174684
Q9BX67	ENSG00000166086
I3L537	ENSG00000205629
P06310	ENSG00000243238
P48051	ENSG00000157542
O15405	ENSG00000103460
M0QZR4	ENSG00000076928
Q53S48	ENSG00000068781
Q8WUY3	ENSG00000106772
Q8NE22	ENSG00000155542
Q05D60	ENSG00000165325
Q6ZN28	ENSG00000183742
Q12986	ENSG00000086102
Q96P20	ENSG00000162711
Q9BUI4	ENSG00000186141
Q5T0N5	ENSG00000137942
P49755	ENSG00000170348
C9J0Y3	ENSG00000144674
Q6UB99	ENSG00000167522
Q15013	ENSG00000124688
Q8TCC3	ENSG00000185414
Q9UQ16	ENSG00000197959
H0YE43	ENSG00000140521
Q7M4L6	ENSG00000138606
O95995	ENSG00000141013
Q96K19	ENSG00000120925
Q8ND83-4	ENSG00000139737
P23634	ENSG00000058668
Q9Y4B6	ENSG00000145041
Q99504	ENSG00000158161
Q30201	ENSG00000010704
Q9NX55	ENSG00000242028
H3BSD1	ENSG00000103248
Q86XL3-3	ENSG00000176915
O43772	ENSG00000178537
Q5VWP3-3	ENSG00000146147
A6NNT2	ENSG00000205832
P56749	ENSG00000157224
Q96QF0-8	ENSG00000127328
O15350	ENSG00000078900
O60235	ENSG00000153802
A0A075B6J8	ENSG00000211663
O94988	ENSG00000138640
P55084	ENSG00000138029
Q6ZNI0	ENSG00000124091
Q92636	ENSG00000035681
P13987	ENSG00000085063
Q6ZMI3	ENSG00000186417
Q9NZC9	ENSG00000138375
Q96D05	ENSG00000171224
Q96KC9	ENSG00000145309
Q12962	ENSG00000166337
Q9H2R5	ENSG00000174562
H0YJH7	ENSG00000120802
Q9BV35	ENSG00000125648
P07741	ENSG00000198931
O14815	ENSG00000135773
P07737	ENSG00000108518
Q6QHF9	ENSG00000148832
P56180	ENSG00000274391
Q9NWU2	ENSG00000101193
Q5DID0	ENSG00000177398
Q9NP66	ENSG00000140382
O43155	ENSG00000185070
Q15562	ENSG00000074219
Q5VZM2	ENSG00000083750
J3QLN2	ENSG00000072134
Q96HW7	ENSG00000149262
Q92630	ENSG00000127334
Q8TDG4	ENSG00000163312
A0A087WZ03	ENSG00000154529
P00167-2	ENSG00000166347
Q00536	ENSG00000102225
Q9NVR0	ENSG00000178502
P19404	ENSG00000178127
O60884	ENSG00000069345
Q8IWU2	ENSG00000164715
Q96PY6-3	ENSG00000137601
Q15768	ENSG00000108947
J3QQH7	ENSG00000149428
Q9UHB4	ENSG00000188566
Q9Y2V0	ENSG00000186073
O95837	ENSG00000156049
Q96F10	ENSG00000141504
P78356	ENSG00000277292
O75147	ENSG00000124006
Q15382	ENSG00000106615
Q7LBR1	ENSG00000255112
Q9UL42	ENSG00000240694
Q8NEF9	ENSG00000151304
P84157-3	ENSG00000182534
Q99519	ENSG00000184494
P04732	ENSG00000169715
Q01850	ENSG00000140743
Q8N9N7	ENSG00000180979
Q9UKB3	ENSG00000108176
P52292	ENSG00000182481
P16435	ENSG00000127948
Q13435	ENSG00000087365
